Country;2008;2009;2010;2011;2012;2013;2014;2015;2016
 Rwanda;2156.0674;2208.3204;2289.0452;2393.2193;2521.4086;2555.5375;2658.3326;2753.9903;2828.4497
 Saint Lucia;13026.8569;13072.2728;12379.4567;12229.1125;11471.4819;11205.1816;11071.024;11115.9524;11033.3932
 Saint Vincent and the Grenadines;13258.3286;13069.8398;12555.8283;12383.4001;12615.9241;12804.5285;12834.2076;12890.9031;12982.379
 Samoa;8863.6926;8551.3357;8902.5182;9064.9502;8676.5824;8659.9794;8799.4264;8944.3744;9390.415
 Sao Tome and Principe;4859.0128;4837.9356;5025.4612;5109.865;5116.4267;5258.0946;5483.9355;5568.6273;5702.0802
 Saudi Arabia;64132.9114;60662.6662;60890.452;64687.8872;65889.9624;65449.5757;66306.0309;66869.1687;66244.5522
 Senegal;3913.3165;3864.2857;3911.9087;3822.6526;3775.1436;4437.1849;4518.5805;4029.434;4163.8505
 Serbia;13320.0147;13057.9843;13030.9782;13015.1879;12992.4545;13266.2045;13069.0223;13070.9311;13461.9366
 Seychelles;20666.9786;19508.8928;21002.9606;21677.3376;19833.3364;23775.005;24276.484;26935.9702;27972.8745
 Sierra Leone;2360.3238;2407.8659;2464.6407;2461.7861;2891.7434;3275.7309;3273.9866;2586.2562;2641.5872
 Singapore;69108.2455;66722.4388;77961.0953;79179.9781;78800.0306;79901.0923;78759.6001;78640.1362;78484.4876
 Slovakia;26413.4163;25101.4209;25779.653;25987.48;26742.2736;27274.2626;27627.1761;28641.0827;29511.0687
 Slovenia;30862.4627;28499.1216;28781.9736;28912.0192;28116.8959;27854.7649;28873.0142;28916.491;29688.1388
 Solomon Islands;2510.6004;2103.304;2318.248;2473.4102;2969.1381;3259.8981;3104.3288;3285.2555;3305.4495
 Somalia;570.5296;571.9376;572.71;574.9831;576.1586;576.274;581.6257;580.4915;578.2238
 South Africa;16075.8185;15908.5173;16330.5185;16680.6743;16609.0411;16536.8047;16356.9452;16318.8789;16098.6248
 South America;16833.6113;16355.7725;17156.5059;17752.1289;18004.5215;18466.7988;17915.3262;17361.6699;16527.5234
 South Sudan;4781.3711;4923.5215;4789.3717;3993.8914;3049.6718;3292.1991;3495.1322;3837.2167;2533.0464
 South-Eastern Asia;10257.5693;10248.0586;11027.8848;11494.999;11864.0996;12110.2676;12386.6172;12652.2549;13046.7412
 Southern Africa;15652.584;15444.0996;15815.9844;16237.9746;16193.6426;16205.0234;16054.6338;16017.752;15827.7666
 Southern Asia;6032.3032;6241.958;6593.2988;6881.6143;7005.0435;7188.7476;7484.1665;7784.0225;8128.6055
 Spain;35523.2074;33967.5224;33824.524;33354.4738;32303.2653;31752.2251;32287.2944;33628.6977;34722.9443
 Sri Lanka;8181.329;8508.3347;9112.1489;10165.0285;10425.2674;11068.3129;11938.3522;12409.9625;12833.2579
 Sudan;6230.0146;5826.5162;6202.1452;6179.4436;5907.1912;5861.8278;5879.7202;5901.6541;5906.0062
 Suriname;18135.5694;18257.793;18388.3158;18471.9901;19121.3577;19695.1878;19760.0376;19114.5448;16188.4156
 Swaziland;11557.741;11253.9361;9436.5007;12158.6761;12200.2906;11941.0052;12250.9513;12207.1328;12282.577
 Sweden;46347.7019;44609.6305;46629.7931;46724.8163;46212.1313;46819.6491;48439.2523;49932.2979;50864.3633
 Switzerland;53419.3965;56483.5367;59462.1437;56846.872;57345.4023;57310.3822;57115.2725;57641.4382;57807.6286
 Syrian Arab Republic;9194.0228;9400.6294;9458.4372;8998.1809;7221.7833;5664.1389;5924.3953;5773.8714;5350.0601
 Taiwan;39363.9716;38316.9799;41903.5178;43060.3843;43523.3525;44082.3568;45403.1989;45341.3139;45701.3329
 Tajikistan;4826.1248;4161.5127;4374.0962;4152.8441;4509.8887;5258.963;5137.8827;5028.1627;5242.2305
 Tanzania;3687.5001;3765.6064;3840.8953;4011.2741;4098.9669;4257.2031;4419.9462;4568.8599;4718.3689
 Thailand;14022.7686;13729.9599;14511.7415;14830.8984;15407.5639;15320.0613;15537.5314;15831.9218;16211.0637
 Timor-Leste;14492.0581;13551.2619;13176.8197;14251.7389;11657.7434;10975.4495;4080.1016;4538.4836;3934.5216
 Togo;2107.7695;2108.1967;2122.5324;1851.4391;1894.604;1917.7705;2106.7424;2171.418;2231.3407
 Tonga;7507.6732;7713.2343;7979.5856;8146.9398;8035.7852;7869.9884;7963.7167;8201.1339;8369.4168
 Trinidad and Tobago;35592.0357;34275.5456;33993.6009;30787.4709;30610.8304;31060.5029;31820.2451;31344.8293;29586.8273
 Tunisia;11753.8689;11947.97;12082.2823;11634.3638;11949.8104;12027.9072;12238.8641;12071.5736;12055.4694
 Turkey;21410.325;19971.5665;21344.967;22723.2877;22699.0054;23138.9735;23355.0483;23745.5979;23997.5855
 Turkmenistan;11929.9016;12202.1191;12681.3504;13958.684;15152.6287;16494.8584;17940.0207;19367.6271;20219.5632
 US Virgin Islands;52653.8418;49107.4127;49499.1213;45448.9629;38537.5461;36180.4144;35710.673;35681.0835;36447.8021
 USA;57221.2473;54910.8546;55592.7053;56212.506;57463.6234;57631.8376;58847.5854;59728.4848;61183.0145
 Uganda;3546.3295;3659.387;3819.5152;3893.5385;3882.343;3909.5386;3922.5082;3980.9189;4012.3179
 Ukraine;9419.0722;7897.8624;8362.9872;8742.0707;8805.5181;8793.1175;8270.9295;7493.3934;7701.453
 United Arab Emirates;77025.0561;63992.3205;58428.1852;58598.1732;61050.1506;63479.1138;64828.368;66539.9591;67755.5372
 United Kingdom;42296.8654;39971.4368;39726.3852;39885.9355;40027.1164;40576.4196;41209.8347;41805.1895;42251.1804
 Uruguay;17848.806;18419.5937;19294.0889;20384.849;21124.9594;21877.6932;22349.3222;22294.8147;22446.2863
 Uzbekistan;5415.5041;5676.0258;6165.1528;6489.9036;6888.7433;7438.9567;7787.265;8148.2262;8622.5647
 Vanuatu;4695.3566;4541.7799;4492.161;4458.3855;4370.5049;4369.0678;4386.0297;4221.9904;4265.4628
 Venezuela;24751.0246;23139.9379;22168.2247;22282.1054;23000.4897;22702.3294;21827.8983;19860.684;15975.0517
 Viet Nam;4961.7203;5042.1329;5274.9361;5454.6735;5632.6287;5795.3361;5992.6752;6256.4766;6543.029
 Western Africa;5848.5601;5963.3135;6208.4282;6307.1777;6481.7026;6708.395;6982.354;6990.4873;6825.9814
 Western Asia;28894.9707;27472.0391;27964.3164;29136.2109;29656.4219;30353.2051;30514.1543;30607.5156;30608.4805
 Western Europe;39811.2969;38185.8867;38427.9141;38570.0273;38098.0039;37971.375;38267.4453;38852.1641;39393.7539
 World;16197.252;15896.3232;16463.4434;16898.25;17228.9004;17585.4297;17951.3867;18261.9121;18614.6836
 Yemen;7239.0257;7387.4933;7345.7456;6041.6664;6128.5468;5752.2638;4975.0128;3435.1545;2992.2514
 Zambia;5161.4949;5762.6081;5903.5419;6146.899;6633.8103;6643.0822;6693.1453;6534.7939;6498.3923
 Zanzibar;3295.1898;3386.3508;3379.2861;3567.8741;3781.7857;3814.5765;4106.4067;4115.889;4052.4117
 Zimbabwe;1070.146;2184.1266;2315.4007;2457.2279;2656.3649;2704.0025;2727.4572;2757.6561;2725.438
